ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_max,unique_as_path_avg,unique_as_path_max,withdrawals,class
1,103,120,10,13,0,2,2,10,0,103,0,1,0,0,1,0,0,7,2,10,0,103,0,1,0,0,1,0,0,0,116,114,2,1,3,120,0,11,0,3,0,0,7,9,4,0
1,3,25,4,12,3,1,3,15,0,2,1,1,0,0,0,0,0,4,3,15,0,2,1,1,0,0,0,0,0,0,19,19,0,0,3,22,0,8,0,3,2,0,4,9,7,0
12,7,36,4,13,7,2,13,3,0,10,3,0,0,5,1,0,0,7,13,3,0,10,3,0,0,5,1,0,0,6,22,22,0,0,1,31,0,18,0,3,0,0,4,10,11,0
6,2,23,4,9,2,1,10,1,0,6,1,2,0,0,0,0,0,4,10,1,0,6,1,2,0,0,0,0,0,8,10,10,0,0,3,22,0,10,0,3,0,0,4,7,25,0
8,6,39,5,8,1,2,12,5,0,11,0,2,4,0,0,0,0,5,12,5,0,11,0,2,4,0,0,0,0,11,21,21,0,1,5,34,0,22,0,5,0,0,5,7,1,0
12,9,58,6,9,4,1,23,10,0,19,3,1,0,1,0,0,0,6,23,10,0,19,3,1,0,1,0,0,0,16,35,32,3,2,1,48,0,32,0,8,0,0,6,9,20,0
10,4,33,5,13,4,2,6,6,0,8,8,4,0,0,0,0,0,4,6,6,0,8,8,4,0,0,0,0,0,2,24,24,0,2,1,29,0,19,0,4,4,0,5,9,7,0
7,9,30,4,14,0,3,1,6,0,11,2,5,2,2,0,0,0,6,1,6,0,11,2,5,2,2,0,0,0,1,23,23,0,5,1,25,0,19,0,5,0,0,4,10,6,0
3,12,22,5,13,0,4,0,5,0,3,2,2,0,9,0,0,0,6,0,5,0,3,2,2,0,9,0,0,0,0,21,21,0,0,1,20,0,12,0,2,9,0,5,10,19,0
2,5,54,5,13,0,2,20,2,0,22,3,3,0,2,0,0,0,6,20,2,0,22,3,3,0,2,0,0,0,20,32,32,0,0,2,43,0,12,0,4,0,0,5,12,2,0
15,4,35,6,13,3,4,3,4,0,4,2,1,0,12,0,0,0,6,3,4,0,4,2,1,0,12,0,0,0,0,22,22,0,1,9,33,0,18,0,1,9,0,6,12,10,0
13,2,32,5,12,2,2,5,8,0,11,3,1,4,0,0,0,0,5,5,8,0,11,3,1,4,0,0,0,0,3,26,26,0,1,0,31,0,19,0,1,0,0,5,9,27,0
