ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_max,unique_as_path_avg,unique_as_path_max,withdrawals,class
35 ,0 ,69 ,6 ,10 ,7 ,2 ,14 ,17 ,0 ,18 ,17 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,14 ,17 ,0 ,18 ,17 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,54 ,53 ,1 ,0 ,2 ,45 ,0 ,25 ,0 ,2 ,0 ,0 ,6 ,8 ,9 ,0 
21 ,19 ,64 ,3 ,14 ,4 ,2 ,15 ,8 ,0 ,36 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,7 ,15 ,8 ,0 ,36 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,9 ,48 ,47 ,1 ,1 ,1 ,43 ,0 ,16 ,0 ,3 ,1 ,0 ,3 ,10 ,33 ,0 
16 ,76 ,143 ,5 ,11 ,7 ,2 ,8 ,39 ,0 ,15 ,62 ,0 ,1 ,12 ,0 ,0 ,0 ,6 ,8 ,39 ,0 ,15 ,62 ,0 ,1 ,12 ,0 ,0 ,0 ,0 ,130 ,129 ,1 ,0 ,4 ,137 ,0 ,31 ,0 ,8 ,0 ,0 ,5 ,7 ,16 ,0 
8 ,36 ,203 ,4 ,11 ,24 ,1 ,32 ,113 ,0 ,16 ,31 ,1 ,1 ,5 ,1 ,0 ,0 ,7 ,32 ,113 ,0 ,16 ,31 ,1 ,1 ,5 ,1 ,0 ,0 ,6 ,168 ,167 ,1 ,2 ,1 ,155 ,0 ,53 ,0 ,10 ,0 ,0 ,4 ,7 ,8 ,0 
8 ,15 ,53 ,5 ,9 ,7 ,1 ,18 ,5 ,0 ,14 ,9 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,18 ,5 ,0 ,14 ,9 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,30 ,26 ,4 ,3 ,6 ,42 ,0 ,23 ,0 ,4 ,2 ,0 ,5 ,6 ,10 ,0 
6 ,3 ,30 ,4 ,7 ,8 ,1 ,16 ,2 ,0 ,9 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,16 ,2 ,0 ,9 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,12 ,12 ,0 ,1 ,2 ,28 ,0 ,12 ,0 ,3 ,0 ,0 ,4 ,6 ,3 ,0 
4 ,11 ,52 ,8 ,11 ,1 ,2 ,5 ,3 ,0 ,31 ,1 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,5 ,3 ,0 ,31 ,1 ,4 ,0 ,0 ,0 ,0 ,0 ,4 ,41 ,41 ,0 ,1 ,5 ,48 ,0 ,27 ,0 ,5 ,0 ,0 ,6 ,7 ,14 ,0 
7 ,7 ,33 ,6 ,9 ,8 ,2 ,13 ,5 ,0 ,4 ,1 ,6 ,1 ,2 ,0 ,0 ,0 ,6 ,13 ,5 ,0 ,4 ,1 ,6 ,1 ,2 ,0 ,0 ,0 ,4 ,13 ,12 ,1 ,7 ,1 ,25 ,0 ,12 ,0 ,3 ,1 ,0 ,6 ,6 ,5 ,0 
17 ,20 ,51 ,4 ,10 ,1 ,3 ,2 ,12 ,0 ,15 ,0 ,19 ,1 ,1 ,0 ,0 ,0 ,6 ,2 ,12 ,0 ,15 ,0 ,19 ,1 ,1 ,0 ,0 ,0 ,0 ,31 ,30 ,1 ,18 ,1 ,42 ,0 ,16 ,0 ,4 ,0 ,0 ,4 ,8 ,7 ,0 
1 ,1 ,18 ,4 ,8 ,4 ,1 ,11 ,4 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,11 ,4 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,6 ,6 ,0 ,1 ,0 ,16 ,0 ,9 ,0 ,0 ,0 ,0 ,4 ,6 ,13 ,0 
46 ,9 ,125 ,5 ,15 ,1 ,2 ,6 ,14 ,0 ,82 ,12 ,9 ,0 ,0 ,0 ,0 ,0 ,12 ,6 ,14 ,0 ,82 ,12 ,9 ,0 ,0 ,0 ,0 ,0 ,3 ,119 ,118 ,1 ,2 ,0 ,90 ,0 ,55 ,0 ,4 ,0 ,0 ,4 ,10 ,12 ,0 
3 ,3 ,23 ,5 ,15 ,0 ,1 ,8 ,8 ,0 ,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,6 ,8 ,8 ,0 ,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,8 ,11 ,11 ,0 ,3 ,1 ,19 ,0 ,10 ,0 ,2 ,0 ,0 ,5 ,9 ,11 ,0 
13 ,9 ,49 ,5 ,7 ,0 ,1 ,10 ,28 ,0 ,5 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,5 ,10 ,28 ,0 ,5 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,9 ,35 ,35 ,0 ,5 ,0 ,45 ,0 ,15 ,0 ,2 ,0 ,0 ,5 ,6 ,31 ,0 
8 ,22 ,59 ,5 ,9 ,3 ,1 ,11 ,26 ,0 ,21 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,11 ,26 ,0 ,21 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,32 ,31 ,1 ,18 ,0 ,48 ,0 ,18 ,0 ,3 ,0 ,0 ,5 ,9 ,26 ,0 
11 ,6 ,28 ,3 ,9 ,1 ,2 ,10 ,2 ,0 ,4 ,5 ,3 ,1 ,3 ,0 ,0 ,0 ,6 ,10 ,2 ,0 ,4 ,5 ,3 ,1 ,3 ,0 ,0 ,0 ,9 ,18 ,18 ,0 ,0 ,0 ,22 ,0 ,15 ,0 ,2 ,0 ,0 ,3 ,7 ,3 ,0 
2 ,3 ,7 ,5 ,5 ,0 ,3 ,2 ,0 ,0 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,5 ,2 ,0 ,0 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,2 ,5 ,5 ,0 ,0 ,0 ,6 ,0 ,4 ,0 ,1 ,0 ,0 ,5 ,5 ,21 ,0 
