ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_max,unique_as_path_avg,unique_as_path_max,withdrawals,class
24,17,64,4,12,0,1,5,45,0,9,0,0,0,0,0,0,0,2,5,45,0,9,0,0,0,0,0,0,0,0,59,54,5,0,5,41,0,28,0,2,7,0,4,7,8,0
26,7,90,6,6,0,2,6,19,0,25,29,4,0,0,0,0,0,4,6,19,0,25,29,4,0,0,0,0,0,0,83,77,6,0,7,63,0,18,0,2,19,0,6,6,0,0
14,11,63,6,13,0,1,4,37,0,6,13,0,0,0,0,0,0,3,4,37,0,6,13,0,0,0,0,0,0,3,56,55,1,1,3,47,0,30,0,2,3,0,6,7,10,0
6,26,53,4,6,2,2,9,13,0,2,21,4,0,0,0,0,0,4,9,13,0,2,21,4,0,0,0,0,0,0,44,37,7,3,4,44,0,26,0,0,1,0,4,6,22,0
46,3,106,4,11,0,2,14,47,0,5,24,8,4,0,0,0,0,5,14,47,0,5,24,8,4,0,0,0,0,0,98,87,11,4,4,64,0,45,0,1,3,0,4,8,3,0
34,9,112,4,11,0,1,7,78,0,4,8,8,4,0,0,0,0,5,7,78,0,4,8,8,4,0,0,0,0,0,108,101,7,1,3,98,0,38,0,1,0,0,4,9,30,0
10,5,28,7,10,0,1,1,22,0,3,0,2,0,0,0,0,0,4,1,22,0,3,0,2,0,0,0,0,0,0,28,27,1,0,0,22,0,17,0,0,0,0,5,7,4,0
6,8,24,8,10,0,2,2,11,0,6,4,1,0,0,0,0,0,4,2,11,0,6,4,1,0,0,0,0,0,0,23,21,2,1,0,14,0,14,0,0,1,0,8,8,0,0
22,6,40,7,12,2,2,4,11,0,16,3,3,1,0,0,0,1,9,4,11,0,16,3,3,1,0,0,0,1,0,27,25,2,10,1,30,0,24,0,2,1,0,5,7,1,0
26,36,80,6,11,0,3,7,35,0,3,21,0,7,0,0,2,0,11,7,35,0,3,21,0,7,0,0,2,0,0,75,68,7,5,0,73,0,20,0,2,15,0,5,7,4,0
3,23,40,4,7,1,3,2,8,0,11,10,0,7,0,0,0,0,11,2,8,0,11,10,0,7,0,0,0,0,1,38,38,0,0,0,37,0,16,0,1,1,0,4,7,5,0
7,1,12,4,12,1,2,1,8,0,1,0,1,0,0,1,0,0,7,1,8,0,1,0,1,0,0,1,0,0,0,11,11,0,0,0,10,0,12,0,0,0,0,4,7,1,0
3,2,28,5,7,0,1,8,10,0,3,1,1,0,0,0,0,0,4,8,10,0,3,1,1,0,0,0,0,0,3,19,14,5,1,5,18,0,21,0,0,0,0,5,6,2,0
1,5,12,5,8,0,2,2,3,0,4,1,1,0,0,0,0,1,9,2,3,0,4,1,1,0,0,0,0,1,0,9,7,2,3,0,10,0,9,0,1,1,0,5,8,2,0
6,6,22,4,8,0,2,3,8,0,5,6,0,0,0,0,0,0,3,3,8,0,5,6,0,0,0,0,0,0,0,18,15,3,4,0,16,0,15,0,1,0,0,4,6,6,0
5,4,16,4,9,0,2,5,3,0,2,0,3,0,0,2,0,0,7,5,3,0,2,0,3,0,0,2,0,0,0,15,10,5,0,1,13,0,11,0,0,0,0,4,8,3,0
37,1,50,11,11,0,4,1,14,0,9,1,1,0,0,22,0,0,7,1,14,0,9,1,1,0,0,22,0,0,0,48,47,1,0,2,41,0,17,0,5,0,0,7,7,6,0
6,29,59,5,7,0,3,13,12,0,9,1,0,0,0,22,0,0,7,13,12,0,9,1,0,0,0,22,0,0,3,48,38,10,6,2,53,0,21,0,4,0,0,5,7,5,0
8,12,45,7,9,0,2,3,23,0,11,5,0,1,0,2,0,0,7,3,23,0,11,5,0,1,0,2,0,0,0,41,38,3,4,0,28,0,31,0,4,0,0,5,8,1,0
8,1,21,5,8,1,1,4,10,0,5,1,1,0,0,0,0,0,4,4,10,0,5,1,1,0,0,0,0,0,3,15,15,0,2,0,17,0,15,0,1,0,0,5,7,9,0
6,5,28,4,8,0,2,0,18,0,4,3,1,0,0,0,0,0,4,0,18,0,4,3,1,0,0,0,0,0,0,26,26,0,0,2,27,0,19,0,0,0,0,4,8,5,0
8,6,48,5,10,2,2,6,26,0,4,9,2,1,0,0,0,0,5,6,26,0,4,9,2,1,0,0,0,0,3,42,41,1,1,0,40,9,25,0,2,1,2,5,7,9,0
9,6,30,5,8,0,3,1,7,0,7,10,1,2,2,0,0,0,6,1,7,0,7,10,1,2,2,0,0,0,0,29,28,1,1,0,26,14,23,0,2,0,3,5,8,5,0
11,5,49,7,10,0,2,6,15,0,18,5,1,2,0,0,0,0,5,6,15,0,18,5,1,2,0,0,0,0,2,44,40,4,1,2,37,13,28,0,3,0,2,6,7,5,0
3,11,50,5,10,1,2,2,16,0,8,23,1,0,0,0,0,0,4,2,16,0,8,23,1,0,0,0,0,0,0,49,48,1,0,0,40,4,23,0,2,0,3,5,7,3,0
7,9,62,18,18,0,3,3,5,0,15,6,0,0,0,0,2,1,14,3,5,0,15,6,0,0,0,0,2,1,1,31,29,2,1,29,54,2,20,0,1,2,1,7,7,1,0
8,7,35,5,19,4,2,13,8,0,9,1,3,0,0,0,0,0,15,13,8,0,9,1,3,0,0,0,0,0,0,30,21,9,1,0,22,5,22,0,2,1,1,5,7,2,0
4,5,17,4,7,0,2,2,4,0,0,8,1,2,0,0,0,0,5,2,4,0,0,8,1,2,0,0,0,0,1,16,15,1,0,0,15,1,11,0,0,0,1,4,5,4,0
7,21,35,4,17,0,3,0,10,1,2,3,16,2,0,0,0,0,10,0,10,1,2,3,16,2,0,0,0,0,0,18,18,0,16,1,31,1,15,0,1,0,1,4,8,1,0
9,13,36,4,12,0,2,4,13,0,8,4,5,1,0,0,0,0,5,4,13,0,8,4,5,1,0,0,0,0,1,27,24,3,7,1,29,9,24,0,2,0,2,4,9,5,0
36,5,52,5,11,0,2,2,20,0,6,20,2,0,0,0,2,0,8,2,20,0,6,20,2,0,0,0,2,0,0,49,49,0,3,0,47,2,20,0,1,2,1,5,6,7,0
27,2,69,8,8,0,1,2,52,0,1,10,3,0,1,0,0,0,6,2,52,0,1,10,3,0,1,0,0,0,1,61,60,1,7,0,41,6,22,0,0,0,2,6,8,28,0
19,6,30,10,10,1,3,1,4,0,6,7,11,0,0,1,0,0,7,1,4,0,6,7,11,0,0,1,0,0,0,18,18,0,11,0,29,9,13,0,1,0,4,10,10,4,0
7,9,36,4,12,0,1,15,8,0,7,4,1,0,0,1,0,0,7,15,8,0,7,4,1,0,0,1,0,0,3,29,17,12,4,0,33,5,18,0,3,0,2,4,10,0,0
