ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_max,unique_as_path_avg,unique_as_path_max,withdrawals,class
59 ,41 ,289 ,5 ,16 ,72 ,1 ,74 ,113 ,1 ,45 ,18 ,8 ,7 ,0 ,0 ,1 ,0 ,11 ,74 ,113 ,1 ,45 ,18 ,8 ,7 ,0 ,0 ,1 ,0 ,0 ,195 ,193 ,2 ,1 ,21 ,113 ,0 ,299 ,0 ,19 ,18 ,0 ,5 ,8 ,8 ,0 
238 ,151 ,654 ,5 ,16 ,49 ,1 ,64 ,335 ,3 ,184 ,35 ,7 ,7 ,2 ,2 ,0 ,1 ,10 ,64 ,335 ,3 ,184 ,35 ,7 ,7 ,2 ,2 ,0 ,1 ,0 ,590 ,575 ,15 ,1 ,14 ,311 ,0 ,412 ,0 ,19 ,28 ,0 ,5 ,8 ,6 ,0 
191 ,278 ,1009 ,6 ,18 ,335 ,1 ,348 ,432 ,1 ,168 ,26 ,11 ,4 ,7 ,3 ,0 ,0 ,16 ,348 ,432 ,1 ,168 ,26 ,11 ,4 ,7 ,3 ,0 ,0 ,1 ,664 ,652 ,12 ,3 ,6 ,307 ,54 ,514 ,0 ,15 ,11 ,4 ,3 ,10 ,11 ,0 
45 ,45 ,234 ,3 ,12 ,10 ,2 ,17 ,127 ,0 ,37 ,21 ,15 ,9 ,1 ,2 ,0 ,0 ,16 ,17 ,127 ,0 ,37 ,21 ,15 ,9 ,1 ,2 ,0 ,0 ,0 ,216 ,209 ,7 ,4 ,4 ,89 ,36 ,263 ,0 ,14 ,13 ,4 ,3 ,11 ,6 ,0 
102 ,88 ,354 ,5 ,10 ,22 ,2 ,28 ,190 ,0 ,79 ,35 ,6 ,1 ,8 ,0 ,1 ,0 ,8 ,28 ,190 ,0 ,79 ,35 ,6 ,1 ,8 ,0 ,1 ,0 ,0 ,299 ,293 ,6 ,27 ,6 ,93 ,35 ,269 ,0 ,23 ,22 ,2 ,5 ,7 ,30 ,0 
68 ,56 ,309 ,4 ,12 ,36 ,1 ,71 ,146 ,0 ,35 ,19 ,19 ,6 ,3 ,7 ,0 ,0 ,7 ,71 ,146 ,0 ,35 ,19 ,19 ,6 ,3 ,7 ,0 ,0 ,0 ,264 ,229 ,35 ,6 ,3 ,96 ,54 ,315 ,0 ,14 ,7 ,3 ,4 ,8 ,18 ,0 
84 ,94 ,340 ,8 ,15 ,17 ,2 ,35 ,141 ,10 ,41 ,46 ,16 ,15 ,10 ,11 ,5 ,0 ,10 ,35 ,141 ,10 ,41 ,46 ,16 ,15 ,10 ,11 ,5 ,0 ,0 ,307 ,289 ,18 ,6 ,10 ,105 ,26 ,279 ,0 ,18 ,20 ,3 ,6 ,7 ,24 ,0 
142 ,142 ,472 ,7 ,15 ,32 ,2 ,70 ,178 ,1 ,102 ,50 ,46 ,10 ,5 ,1 ,5 ,0 ,10 ,70 ,178 ,1 ,102 ,50 ,46 ,10 ,5 ,1 ,5 ,0 ,0 ,421 ,383 ,38 ,15 ,4 ,168 ,28 ,247 ,0 ,24 ,20 ,3 ,5 ,11 ,16 ,0 
67 ,83 ,355 ,7 ,10 ,26 ,1 ,99 ,167 ,0 ,34 ,19 ,9 ,24 ,0 ,0 ,0 ,0 ,5 ,99 ,167 ,0 ,34 ,19 ,9 ,24 ,0 ,0 ,0 ,0 ,0 ,325 ,252 ,73 ,1 ,3 ,138 ,41 ,230 ,0 ,14 ,7 ,4 ,5 ,8 ,5 ,0 
32 ,43 ,215 ,5 ,10 ,20 ,2 ,22 ,118 ,0 ,34 ,17 ,10 ,6 ,1 ,0 ,1 ,1 ,9 ,22 ,118 ,0 ,34 ,17 ,10 ,6 ,1 ,0 ,1 ,1 ,0 ,177 ,175 ,2 ,13 ,5 ,63 ,23 ,272 ,0 ,16 ,8 ,3 ,5 ,7 ,5 ,0 
