ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_max,unique_as_path_avg,unique_as_path_max,withdrawals,class
2,6,34,6,7,0,1,18,8,0,2,4,2,0,0,0,0,0,4,18,8,0,2,4,2,0,0,0,0,0,18,15,15,0,1,0,33,0,9,0,2,0,0,6,7,10,0
10,16,39,5,17,2,2,4,9,0,12,10,1,1,0,1,0,0,7,4,9,0,12,10,1,1,0,1,0,0,1,32,31,1,3,1,30,0,24,0,4,1,0,5,8,6,0
5,4,15,5,10,0,2,4,3,0,3,1,3,0,1,0,0,0,6,4,3,0,3,1,3,0,1,0,0,0,4,11,11,0,0,0,13,0,12,0,3,0,0,5,10,2,0
10,7,35,4,10,5,2,8,9,0,14,2,0,1,0,0,1,0,8,8,9,0,14,2,0,1,0,0,1,0,1,29,27,2,0,0,23,0,20,0,1,1,0,4,7,6,0
6,2,23,6,10,4,2,7,6,0,3,6,0,1,0,0,0,0,5,7,6,0,3,6,0,1,0,0,0,0,3,16,16,0,0,0,21,2,18,0,2,2,1,6,9,1,0
12,7,40,5,14,3,2,16,2,0,6,11,0,0,3,1,0,1,9,16,2,0,6,11,0,0,3,1,0,1,13,20,20,0,4,0,38,0,18,0,4,0,0,5,6,12,0
3,11,22,5,8,1,3,3,4,0,5,4,2,1,1,1,0,1,9,3,4,0,5,4,2,1,1,1,0,1,1,14,13,1,6,0,16,0,12,0,3,0,0,5,7,4,0
26,2,45,5,9,2,2,12,1,0,22,0,0,9,0,0,0,0,5,12,1,0,22,0,0,9,0,0,0,0,10,31,31,0,1,1,34,1,16,0,3,0,1,5,7,14,0
15,5,49,6,8,7,2,16,3,0,16,11,1,2,0,0,0,0,5,16,3,0,16,11,1,2,0,0,0,0,9,32,32,0,1,0,42,0,25,0,3,1,0,6,6,0,0
30,37,78,4,8,6,2,8,24,0,39,5,1,1,0,0,0,0,5,8,24,0,39,5,1,1,0,0,0,0,2,69,69,0,1,0,67,0,21,0,3,0,0,4,7,13,0
19,13,63,6,8,4,2,14,15,0,16,12,4,0,1,0,0,0,6,14,15,0,16,12,4,0,1,0,0,0,10,46,46,0,2,1,53,0,26,0,9,0,0,6,7,5,0
10,14,40,4,10,2,2,10,4,0,14,9,3,0,0,0,0,0,4,10,4,0,14,9,3,0,0,0,0,0,8,26,26,0,4,0,39,1,20,0,4,1,1,4,8,7,0
12,24,94,4,8,3,2,4,35,0,49,2,3,1,0,0,0,0,5,4,35,0,49,2,3,1,0,0,0,0,1,89,89,0,1,0,85,2,27,0,5,1,1,4,7,6,0
3,8,16,5,8,1,2,4,1,0,3,7,0,1,0,0,0,0,5,4,1,0,3,7,0,1,0,0,0,0,1,11,9,2,3,0,14,0,7,0,4,1,0,5,5,15,0
11,11,47,7,9,6,2,17,7,0,7,7,3,6,0,0,0,0,5,17,7,0,7,7,3,6,0,0,0,0,11,28,28,0,2,0,34,1,25,0,3,1,1,6,6,17,0
7,7,29,11,14,1,2,4,7,0,12,2,1,1,0,0,2,0,8,4,7,0,12,2,1,1,0,0,2,0,3,20,20,0,5,0,26,1,13,0,6,3,1,8,8,28,0
10,6,32,6,17,7,2,7,8,0,5,3,3,0,1,0,0,1,9,7,8,0,5,3,3,0,1,0,0,1,0,20,20,0,1,4,28,3,18,0,1,0,1,6,7,6,0
11,7,35,5,10,8,2,15,2,0,13,0,3,0,0,1,0,1,9,15,2,0,13,0,3,0,0,1,0,1,7,16,16,0,4,0,22,2,13,0,1,2,1,5,10,11,0
19,7,35,3,10,3,2,4,4,0,22,1,3,0,1,0,0,0,6,4,4,0,22,1,3,0,1,0,0,0,1,27,27,0,4,0,34,0,17,0,2,0,0,3,8,5,0
4,6,19,6,8,0,2,4,4,0,4,2,0,2,3,0,0,0,6,4,4,0,4,2,0,2,3,0,0,0,2,14,12,2,3,0,17,2,12,0,3,1,1,6,8,17,0
14,8,48,5,10,10,1,23,4,0,11,4,2,0,4,0,0,0,6,23,4,0,11,4,2,0,4,0,0,0,12,18,17,1,8,0,38,0,23,0,11,1,0,5,6,10,0
2,26,35,5,8,0,2,2,1,0,25,2,3,1,0,0,1,0,8,2,1,0,25,2,3,1,0,0,1,0,2,17,17,0,16,0,34,0,10,0,7,0,0,5,8,11,0
4,0,11,5,6,0,2,0,5,0,6,0,0,0,0,0,0,0,2,0,5,0,6,0,0,0,0,0,0,0,0,11,11,0,0,0,10,1,4,0,5,0,1,5,6,4,0
6,3,77,4,10,2,1,5,63,0,7,0,0,0,0,0,1,0,8,5,63,0,7,0,0,0,0,0,1,0,2,62,61,1,10,1,74,13,22,0,9,0,2,4,8,6,0
10,9,68,8,11,1,2,10,27,0,9,19,2,1,0,0,0,0,5,10,27,0,9,19,2,1,0,0,0,0,4,61,56,5,2,0,63,2,16,0,5,4,1,8,8,17,0
11,8,35,5,9,2,2,13,6,0,8,3,2,3,0,0,0,0,5,13,6,0,8,3,2,3,0,0,0,0,10,20,19,1,3,0,31,1,15,0,3,0,1,5,8,13,0
11,19,56,5,10,5,2,13,0,0,14,17,9,3,0,0,0,0,5,13,0,0,14,17,9,3,0,0,0,0,7,38,37,1,6,0,49,1,23,0,3,0,1,5,7,2,0
4,9,24,4,9,3,2,3,8,0,2,9,1,1,0,0,0,0,5,3,8,0,2,9,1,1,0,0,0,0,0,18,18,0,3,0,22,0,8,0,2,0,0,4,6,17,0
22,17,106,4,10,13,1,46,23,0,13,16,2,5,0,1,0,0,7,46,23,0,13,16,2,5,0,1,0,0,33,50,50,0,10,0,77,0,26,0,10,2,0,4,8,9,0
11,8,76,5,12,39,1,47,10,0,6,7,4,0,0,1,1,0,8,47,10,0,6,7,4,0,0,1,1,0,8,25,25,0,4,0,53,0,23,0,3,0,0,5,6,21,0
4,5,56,4,10,26,1,42,4,0,6,0,3,1,0,0,0,0,5,42,4,0,6,0,3,1,0,0,0,0,15,13,12,1,2,0,47,0,17,0,3,0,0,4,6,71,0
9,15,63,3,9,27,1,29,8,0,13,3,0,10,0,0,0,0,5,29,8,0,13,3,0,10,0,0,0,0,2,30,30,0,4,0,46,1,19,0,1,0,1,3,7,27,0
14,12,80,9,10,0,1,53,5,0,13,4,3,1,0,0,1,0,8,53,5,0,13,4,3,1,0,0,1,0,52,20,20,0,8,0,73,0,23,0,4,0,0,6,6,17,0
14,9,66,6,16,1,1,31,9,0,10,7,6,0,2,0,0,0,12,31,9,0,10,7,6,0,2,0,0,0,28,35,33,2,2,0,57,0,26,0,2,1,0,5,6,57,0
20,7,68,6,12,2,2,3,37,0,24,2,0,0,0,0,0,2,9,3,37,0,24,2,0,0,0,0,0,2,1,65,65,0,0,0,65,2,14,0,4,4,1,6,6,5,0
17,20,166,8,10,0,1,51,64,0,40,4,3,3,0,1,0,0,7,51,64,0,40,4,3,3,0,1,0,0,50,95,95,0,21,0,147,1,31,0,2,2,1,6,7,69,0
51,30,147,3,14,16,2,50,5,0,54,18,5,12,2,0,1,0,8,50,5,0,54,18,5,12,2,0,1,0,26,99,91,8,6,0,112,1,40,0,3,9,1,3,8,32,0
53,6,99,3,10,1,2,27,9,0,18,6,29,9,0,0,1,0,8,27,9,0,18,6,29,9,0,0,1,0,3,79,56,23,16,0,98,4,25,0,7,36,1,3,8,22,0
7,41,105,4,8,1,2,19,30,0,16,4,29,6,1,0,0,0,6,19,30,0,16,4,29,6,1,0,0,0,6,82,70,12,16,0,101,4,16,0,8,21,1,4,6,66,0
15,11,83,5,12,19,2,37,6,0,14,14,9,1,1,0,0,0,12,37,6,0,14,14,9,1,1,0,0,0,18,40,40,0,6,0,61,1,26,0,2,0,1,5,6,7,0
7,1,24,5,11,4,2,6,5,0,10,0,1,1,1,0,0,0,6,6,5,0,10,0,1,1,1,0,0,0,1,15,14,1,4,0,19,0,12,0,3,1,0,5,8,4,0
56,50,122,6,12,0,2,2,66,0,32,18,3,1,0,0,0,0,5,2,66,0,32,18,3,1,0,0,0,0,2,73,73,0,47,0,89,0,16,0,3,2,0,5,9,10,0
11,12,55,5,7,3,2,12,9,0,12,18,1,3,0,0,0,0,5,12,9,0,12,18,1,3,0,0,0,0,8,37,36,1,7,0,49,0,17,0,6,1,0,5,6,3,0
4,5,23,8,8,4,2,8,3,0,9,0,2,0,0,1,0,0,7,8,3,0,9,0,2,0,0,1,0,0,4,13,13,0,2,0,20,0,14,0,3,1,0,7,7,19,0
9,0,19,6,14,5,3,8,1,0,3,1,2,1,0,1,0,0,11,8,1,0,3,1,2,1,0,1,0,0,3,10,10,0,1,0,16,2,14,0,2,1,1,4,8,9,0
2,11,24,3,9,5,2,8,3,0,9,2,0,2,0,0,0,0,5,8,3,0,9,2,0,2,0,0,0,0,3,15,15,0,1,0,18,1,11,0,3,2,1,3,6,5,0
7,2,19,5,8,3,1,9,0,0,5,4,1,0,0,0,0,0,4,9,0,0,5,4,1,0,0,0,0,0,4,9,7,2,3,0,13,0,14,0,3,0,0,5,7,15,0
7,15,28,5,8,0,2,3,4,0,15,5,1,0,0,0,0,0,4,3,4,0,15,5,1,0,0,0,0,0,3,20,20,0,5,0,21,0,14,0,5,1,0,5,7,2,0
