ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_max,unique_as_path_avg,unique_as_path_max,withdrawals,class
20 ,14 ,96 ,6 ,15 ,1 ,2 ,24 ,15 ,2 ,20 ,7 ,18 ,5 ,1 ,0 ,1 ,0 ,10 ,24 ,15 ,2 ,20 ,7 ,18 ,5 ,1 ,0 ,1 ,0 ,0 ,91 ,69 ,22 ,1 ,3 ,43 ,0 ,76 ,0 ,13 ,20 ,0 ,5 ,10 ,12 ,0 
39 ,18 ,146 ,6 ,19 ,0 ,2 ,20 ,38 ,3 ,39 ,14 ,11 ,0 ,1 ,0 ,0 ,1 ,14 ,20 ,38 ,3 ,39 ,14 ,11 ,0 ,1 ,0 ,0 ,1 ,1 ,124 ,106 ,18 ,4 ,17 ,79 ,0 ,72 ,0 ,15 ,32 ,0 ,5 ,8 ,7 ,0 
47 ,18 ,115 ,7 ,14 ,0 ,3 ,8 ,28 ,3 ,17 ,19 ,33 ,3 ,0 ,0 ,0 ,1 ,10 ,8 ,28 ,3 ,17 ,19 ,33 ,3 ,0 ,0 ,0 ,1 ,0 ,106 ,99 ,7 ,6 ,2 ,58 ,0 ,79 ,0 ,12 ,36 ,0 ,6 ,9 ,18 ,0 
53 ,55 ,261 ,10 ,19 ,0 ,2 ,63 ,80 ,5 ,41 ,27 ,18 ,6 ,3 ,3 ,5 ,3 ,10 ,63 ,80 ,5 ,41 ,27 ,18 ,6 ,3 ,3 ,5 ,3 ,3 ,243 ,185 ,58 ,8 ,7 ,161 ,0 ,102 ,0 ,24 ,26 ,0 ,10 ,10 ,16 ,0 
62 ,21 ,252 ,7 ,16 ,0 ,2 ,90 ,39 ,3 ,34 ,48 ,23 ,4 ,5 ,1 ,0 ,2 ,10 ,90 ,39 ,3 ,34 ,48 ,23 ,4 ,5 ,1 ,0 ,2 ,11 ,211 ,157 ,54 ,27 ,3 ,155 ,0 ,100 ,0 ,21 ,32 ,0 ,6 ,8 ,52 ,0 
39 ,63 ,181 ,5 ,16 ,0 ,2 ,30 ,28 ,0 ,23 ,80 ,11 ,0 ,1 ,5 ,0 ,0 ,7 ,30 ,28 ,0 ,23 ,80 ,11 ,0 ,1 ,5 ,0 ,0 ,1 ,175 ,146 ,29 ,2 ,3 ,130 ,6 ,92 ,0 ,11 ,17 ,2 ,4 ,8 ,15 ,0 
51 ,58 ,204 ,6 ,17 ,0 ,4 ,43 ,34 ,3 ,14 ,30 ,13 ,0 ,2 ,34 ,0 ,1 ,13 ,43 ,34 ,3 ,14 ,30 ,13 ,0 ,2 ,34 ,0 ,1 ,1 ,185 ,144 ,41 ,14 ,4 ,79 ,23 ,68 ,0 ,20 ,46 ,5 ,5 ,8 ,4 ,0 
52 ,53 ,227 ,5 ,16 ,0 ,2 ,27 ,79 ,0 ,58 ,38 ,17 ,3 ,2 ,1 ,0 ,0 ,7 ,27 ,79 ,0 ,58 ,38 ,17 ,3 ,2 ,1 ,0 ,0 ,7 ,203 ,183 ,20 ,15 ,2 ,95 ,13 ,101 ,0 ,7 ,12 ,2 ,4 ,8 ,24 ,0 
32 ,29 ,105 ,6 ,17 ,0 ,2 ,11 ,17 ,2 ,30 ,32 ,12 ,0 ,0 ,1 ,0 ,0 ,10 ,11 ,17 ,2 ,30 ,32 ,12 ,0 ,0 ,1 ,0 ,0 ,2 ,98 ,90 ,8 ,5 ,0 ,47 ,7 ,71 ,0 ,11 ,27 ,2 ,5 ,9 ,7 ,0 
16 ,18 ,116 ,5 ,14 ,0 ,2 ,15 ,60 ,0 ,14 ,12 ,10 ,1 ,0 ,2 ,1 ,0 ,8 ,15 ,60 ,0 ,14 ,12 ,10 ,1 ,0 ,2 ,1 ,0 ,3 ,94 ,84 ,10 ,18 ,1 ,56 ,7 ,73 ,0 ,6 ,24 ,2 ,4 ,8 ,26 ,0 
