ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_max,unique_as_path_avg,unique_as_path_max,withdrawals,class
31,11,112,5,11,2,2,2,75,0,20,5,6,1,3,0,0,0,6,2,75,0,20,5,6,1,3,0,0,0,0,105,105,0,5,0,102,3,36,0,0,0,1,5,8,8,0
66,13,89,6,12,1,2,2,8,0,41,35,2,0,0,0,1,0,8,2,8,0,41,35,2,0,0,0,1,0,1,85,85,0,2,0,79,0,31,0,3,0,0,6,9,37,0
10,11,50,6,11,2,1,12,14,0,19,4,1,0,0,0,0,0,4,12,14,0,19,4,1,0,0,0,0,0,1,41,38,3,6,0,35,3,19,0,2,1,1,6,7,7,0
18,54,173,4,11,7,1,54,66,0,18,16,13,6,0,0,0,0,5,54,66,0,18,16,13,6,0,0,0,0,1,141,117,24,24,0,114,4,46,0,3,1,2,4,10,25,0
11,9,30,12,12,0,2,1,15,0,6,0,3,3,1,0,0,0,6,1,15,0,6,0,3,3,1,0,0,0,0,28,27,1,1,1,21,2,19,0,1,0,2,10,11,2,0
3,3,18,6,12,1,1,8,5,0,2,2,0,1,0,0,0,0,5,8,5,0,2,2,0,1,0,0,0,0,3,11,10,1,3,0,16,4,11,0,1,0,2,6,7,4,0
60,7,81,7,12,0,1,7,43,0,25,4,1,0,0,0,0,0,4,7,43,0,25,4,1,0,0,0,0,0,0,78,71,7,2,1,76,2,26,0,3,0,1,5,8,5,0
11,6,37,8,8,0,1,9,16,0,6,2,1,1,0,0,0,0,5,9,16,0,6,2,1,1,0,0,0,0,0,29,25,4,6,2,31,0,23,0,2,1,0,6,8,4,0
18,18,57,6,9,0,2,2,23,0,14,1,14,2,0,0,0,0,11,2,23,0,14,1,14,2,0,0,0,0,0,54,53,1,3,0,42,4,27,0,3,7,1,6,7,1,0
20,20,55,7,12,0,3,4,13,0,22,0,9,1,0,5,1,0,8,4,13,0,22,0,9,1,0,5,1,0,0,53,49,4,2,0,43,3,21,0,4,7,1,6,9,3,0
213,34,438,9,13,1,1,8,380,0,29,10,5,0,3,3,0,0,7,8,380,0,29,10,5,0,3,3,0,0,0,433,426,7,4,0,258,0,130,0,4,1,0,6,7,15,0
34,62,133,5,12,1,2,13,82,0,13,13,3,1,4,3,0,0,7,13,82,0,13,13,3,1,4,3,0,0,0,114,109,5,17,1,110,0,59,0,5,1,0,5,9,1,0
18,19,70,7,12,0,2,18,27,0,3,6,0,0,16,0,0,0,6,18,27,0,3,6,0,0,16,0,0,0,0,68,50,18,2,0,47,1,29,0,5,0,1,7,9,4,0
54,5,102,6,12,0,2,8,51,0,37,0,0,2,0,2,2,0,8,8,51,0,37,0,0,2,0,2,2,0,3,97,93,4,2,0,84,0,32,0,2,0,0,6,7,12,0
58,33,183,6,12,0,3,12,94,0,13,11,4,1,0,4,42,2,9,12,94,0,13,11,4,1,0,4,42,2,1,173,165,8,9,0,118,0,40,0,7,26,0,6,9,6,0
6,51,71,7,11,0,2,6,38,0,20,1,2,0,0,4,0,0,7,6,38,0,20,1,2,0,0,4,0,0,0,56,52,4,15,0,65,0,26,0,2,23,0,7,8,5,0
16,53,110,4,8,0,2,19,41,0,40,0,2,4,0,3,0,0,7,19,41,0,40,0,2,4,0,3,0,0,0,100,83,17,9,1,86,1,32,0,1,0,1,4,7,4,0
50,50,157,7,15,1,1,16,104,0,9,15,7,2,2,2,0,0,7,16,104,0,9,15,7,2,2,2,0,0,0,146,137,9,10,0,111,5,67,0,5,28,1,5,8,5,0
19,8,44,4,10,0,2,10,16,0,9,4,0,0,4,1,0,0,7,10,16,0,9,4,0,0,4,1,0,0,0,43,34,9,1,0,36,0,27,0,4,5,0,4,7,4,0
23,64,101,7,12,0,1,4,73,0,12,6,3,0,0,3,0,0,7,4,73,0,12,6,3,0,0,3,0,0,0,90,90,0,11,0,91,0,32,0,1,2,0,5,8,2,0
23,24,85,6,15,1,3,11,24,0,12,16,8,6,4,1,1,1,11,11,24,0,12,16,8,6,4,1,1,1,0,81,71,10,3,0,68,2,49,0,5,5,1,4,8,127,0
47,30,116,6,16,3,2,12,45,0,31,12,3,5,6,0,0,1,13,12,45,0,31,12,3,5,6,0,0,1,0,103,94,9,10,0,84,1,47,0,2,5,1,6,8,10,0
20,38,91,5,11,0,2,14,22,0,18,15,3,9,6,3,0,0,7,14,22,0,18,15,3,9,6,3,0,0,0,78,66,12,12,1,73,1,39,0,5,5,1,5,8,6,0
